company_symbol,company_name,sector,total_quantity,total_cost,avg_cost_per_unit
PBD88,10% Prime Debenture 2088,Unknown,10030,12046030.0,1201.0
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Unknown,7012,6186337.0,882.0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,Unknown,4766,6176783.66,1296.01
TVCL,Trishuli Jal Vidhyut Company Limited,Unknown,11172,5537290.08,495.64
NLG,NLG Insurance Company Ltd.,Unknown,7017,5468207.76,779.28
SGIC,Sanima GIC Insurance Limited,Unknown,8461,5161125.39,609.99
ICFC,ICFC Finance Limited,Unknown,7577,4853598.890000001,640.57
ILI,IME Life Insurance Company Limited,Unknown,10450,4828109.0,462.0
CLI,Citizen Life Insurance Company Limited,Unknown,10147,4812113.28,474.24
SBI,Nepal SBI Bank Limited,Unknown,10924,4806341.5200000005,439.98
SMJC,Sagarmatha Jalabidhyut Company Limited,Unknown,6943,3696869.7800000003,532.46
UAIL,United Ajod Insurance Limited,Unknown,6013,3436790.28,571.56
IGI,IGI Prudential insurance Limited,Unknown,5674,3160361.2600000002,556.99
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,Unknown,7798,2474149.44,317.28
SMHL,Super Madi Hydropower Limited,Unknown,1940,2150257.2,1108.38
HATHY,Hathway Investment Nepal Limited,Unknown,1696,2069357.4400000002,1220.14
NICL,Nepal Insurance Co. Ltd.,Unknown,3203,2066511.5399999998,645.18
MFIL,Manjushree Finance Ltd.,Unknown,3250,2025627.5,623.27
LICN,Life Insurance Corporation (Nepal) Limited,Unknown,2090,1858490.7,889.23
SRLI,Sanima Reliance Life Insurance Limited,Unknown,4506,1848316.14,410.19
HLI,Himalayan Life Insurance Limited,Unknown,4140,1685435.4000000001,407.11
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Unknown,2010,1606150.8,799.08
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Unknown,1520,1064532.0,700.0
SCB,Standard Chartered Bank Limited,Unknown,1177,772229.7000000001,656.1
GWFD83,12 % Goodwill Finance Limited Debenture 2083,Unknown,458,572454.2000000001,1249.9
SHPC,Sanima Mai Hydropower Ltd.,Unknown,900,564219.0,626.0
HIDCL,Hydorelectricity Investment and Development Company Ltd,Unknown,1893,553910.73,292.61
SFMF,Sunrise First Mutual Fund,Unknown,46876,500635.68,10.68
CBLD88,Civil Bank Debenture 2088,Unknown,201,242205.0,1205.0
HRL,Himalayan Reinsurance Limited,Unknown,148,136571.44,922.78
SBLD84,8.5% SBL Debenture 2084,Unknown,96,105840.0,1102.0
CCBD88,Century Debenture 2088,Unknown,50,60945.00000000001,1218.9
H8020,Himalayan 80-20,Unknown,3400,39440.0,11.0
NICFC,NIC Asia Flexi CAP Fund,Unknown,2935,29790.25,10.15
NIBD84,8.5% Nepal Investment Bank Debenture 2084,Unknown,25,26050.0,1042.0
KEF,Kumari Equity Fund,Unknown,2000,19900.0,9.0
AHPC,Arun Valley Hydropower Development Co. Ltd.,Unknown,15,4375.35,291.69
